Unnamed: 0,brand_name,rating,number_of_reviews,price
150,Casio,4.2,2600.0,"10,995"
151,TIMEX,4.5,68000.0,"3,297"
152,Fastrack,4.3,2700.0,"1,915"
153,TIMEX,4.5,15000.0,"2,894"
154,Titan,4.2,600000.0,"3,155"
155,Sonata,4.3,388000.0,"1,035"
156,Casio,4.4,348000.0,"9,994"
157,Titan,4.2,812000.0,"1,695"
158,GOLDENIZE FASHION,4.4,179000.0,589
159,Fastrack,4.2,3200.0,639
160,Casio,4.4,1800.0,"3,394"
161,Fastrack,4.4,241000.0,"3,595"
162,Titan,4.3,944000.0,"3,709"
163,Casio,4.4,872000.0,"1,295"
164,AMERICANVIBER,4.1,24000.0,428
165,TIMEWEAR,4.0,249000.0,319
166,Casio,4.5,647000.0,"7,356"
167,Casio,4.4,218000.0,"11,995"
168,Casio,4.4,63000.0,"2,995"
169,Casio,4.3,1400.0,"3,775"
170,Fastrack,4.1,290000.0,746
171,Titan,4.3,533000.0,"4,495"
172,Casio,4.1,56000.0,"3,494"
173,TIMEX,4.4,55000.0,"4,897"
174,Sonata,4.4,569000.0,"1,185"
175,Casio,4.0,81000.0,"2,995"
176,LONGBO,4.0,205000.0,"1,605"
177,Sonata,4.1,73000.0,"1,844"
178,BENYAR,4.0,705000.0,"3,790"
179,Sonata,4.5,113000.0,"2,994"
180,Casio,4.4,374000.0,"4,236"
181,Fossil,4.4,27000.0,"13,495"
182,Titan,4.2,222000.0,"2,920"
183,Seiko,4.6,4900.0,"27,000"
184,Titan,4.1,1200.0,"1,795"
185,Sonata,4.2,2100.0,"1,099"
186,Casio,4.3,291000.0,"5,294"
187,Fastrack,4.2,1000.0,"1,996"
188,Armani Exchange,4.4,1500.0,"14,216"
189,Fastrack,4.1,853000.0,"1,326"
190,Casio,4.0,456000.0,"9,446"
191,Fastrack,4.4,234000.0,"3,970"
192,Casio,4.1,62000.0,"8,994"
193,Casio,4.3,1500.0,"3,516"
194,Fossil,3.7,1800.0,"10,396"
195,Fastrack,4.4,942000.0,"3,745"
196,Carlington,4.3,703000.0,"1,798"
197,IK COLOURING,4.1,1200.0,"4,721"
198,Titan,,,"22,895"
199,Fastrack,4.6,35000.0,"3,276"
200,LOUIS DEVIN,3.7,3800.0,295
201,AMERICANVIBER,3.2,27000.0,402.
202,TIMEX,4.4,65000.0,"4,406"
203,Acnos,3.8,979000.0,348
204,Fossil,4.1,878000.0,"11,197"
205,TIMEX,4.1,2100.0,"2,695"
206,Casio,4.1,166000.0,"3,495"
207,V2A,4.1,254000.0,941
208,Casio,4.4,476000.0,"16,995"
209,OLEVS,4.0,243000.0,"3,010"
210,TIMEWEAR,3.7,15600.0,319
211,Casio,4.5,199000.0,"10,225"
212,Matrix,4.0,932000.0,273
213,Fastrack,4.2,688000.0,895
214,Fastrack,4.8,6000.0,"1,451"
215,Giordano,3.2,30000.0,"3,297"
216,SWISSTYLE,3.5,6000.0,348
217,LOUIS DEVIN,3.5,92000.0,341
218,Casio,4.5,88000.0,"12,994"
219,TIMEX,4.8,11000.0,"5,316"
220,Fossil,4.0,82000.0,"16,097"
221,V2A,4.0,2200.0,720
222,Matrix,3.8,216000.0,378
223,Titan,4.3,1800.0,"2,504"
224,Matrix,3.7,5400.0,258
225,Fastrack,4.2,2700.0,"1,396"
226,TIMEX,4.0,1300.0,"1,609"
227,SWISSTYLE,3.5,5200.0,350
228,Fossil,4.0,10000.0,"7,796"
229,Fastrack,4.0,175000.0,895
230,BRUNO MILANO,4.0,304000.0,"3,228"
231,Fastrack,3.3,5000.0,"1,709"
232,Giordano,4.1,84000.0,"4,183"
233,Casio,4.2,171000.0,"19,995"
234,Fossil,4.7,32000.0,"9,446"
235,Carlington,4.0,728000.0,948
236,Casio,4.4,1300.0,"1,995"
237,Casio,4.4,1100.0,"1,495"
238,Fossil,4.0,48000.0,"8,696"
239,Casio,4.5,689000.0,"10,994"
240,Titan,4.4,142000.0,"7,291"
241,AMERICANVIBER,4.2,66000.0,428
242,Carlington,3.9,1000.0,"1,613"
243,Casio,4.5,346000.0,"10,494"
244,V2A,3.8,3600.0,806
245,Titan,4.2,574000.0,"6,796"
246,Fastrack,3.8,82000.0,"1,622"
